,Year,State,Year
,,,count
0,1980,Alabama,513
1,1980,Alaska,47
2,1980,Arizona,293
3,1980,Arkansas,214
4,1980,California,3590
5,1980,Colorado,198
6,1980,Connecticut,158
7,1980,Delaware,44
8,1980,District of Columbia,180
9,1980,Florida,1508
10,1980,Georgia,475
11,1980,Hawaii,84
12,1980,Idaho,30
13,1980,Illinois,1323
14,1980,Indiana,409
15,1980,Iowa,63
16,1980,Kansas,163
17,1980,Kentucky,389
18,1980,Louisiana,549
19,1980,Maine,36
20,1980,Maryland,432
21,1980,Massachusetts,223
22,1980,Michigan,973
23,1980,Minnesota,112
24,1980,Mississippi,218
25,1980,Missouri,531
26,1980,Montana,29
27,1980,Nebraska,58
28,1980,Nevada,154
29,1980,New Hampshire,24
30,1980,New Jersey,534
31,1980,New Mexico,141
32,1980,New York,2197
33,1980,North Carolina,628
34,1980,North Dakota,9
35,1980,Ohio,879
36,1980,Oklahoma,320
37,1980,Oregon,141
38,1980,Pennsylvania,844
39,1980,Rhodes Island,43
40,1980,South Carolina,367
41,1980,South Dakota,5
42,1980,Tennessee,497
43,1980,Texas,2402
44,1980,Utah,53
45,1980,Vermont,9
46,1980,Virginia,468
47,1980,Washington,222
48,1980,West Virginia,134
49,1980,Wisconsin,145
50,1980,Wyoming,34
51,1981,Alabama,453
52,1981,Alaska,69
53,1981,Arizona,237
54,1981,Arkansas,209
55,1981,California,2885
56,1981,Colorado,230
57,1981,Connecticut,155
58,1981,Delaware,41
59,1981,District of Columbia,232
60,1981,Florida,1586
61,1981,Georgia,491
62,1981,Hawaii,46
63,1981,Idaho,45
64,1981,Illinois,1221
65,1981,Indiana,357
66,1981,Iowa,79
67,1981,Kansas,165
68,1981,Kentucky,266
69,1981,Louisiana,650
70,1981,Maine,36
71,1981,Maryland,452
72,1981,Massachusetts,203
73,1981,Michigan,906
74,1981,Minnesota,87
75,1981,Mississippi,246
76,1981,Missouri,511
77,1981,Montana,23
78,1981,Nebraska,57
79,1981,Nevada,159
80,1981,New Hampshire,28
81,1981,New Jersey,567
82,1981,New Mexico,4
83,1981,New York,1818
84,1981,North Carolina,541
85,1981,North Dakota,15
86,1981,Ohio,797
87,1981,Oklahoma,316
88,1981,Oregon,118
89,1981,Pennsylvania,759
90,1981,Rhodes Island,42
91,1981,South Carolina,336
92,1981,South Dakota,10
93,1981,Tennessee,426
94,1981,Texas,2293
95,1981,Utah,54
96,1981,Vermont,9
97,1981,Virginia,474
98,1981,Washington,208
99,1981,West Virginia,122
100,1981,Wisconsin,148
101,1981,Wyoming,26
102,1982,Alabama,424
103,1982,Alaska,75
104,1982,Arizona,247
105,1982,Arkansas,195
106,1982,California,2976
107,1982,Colorado,193
108,1982,Connecticut,164
109,1982,Delaware,36
110,1982,District of Columbia,204
111,1982,Florida,1482
112,1982,Georgia,574
113,1982,Hawaii,33
114,1982,Idaho,25
115,1982,Illinois,1108
116,1982,Indiana,336
117,1982,Iowa,65
118,1982,Kansas,144
119,1982,Kentucky,286
120,1982,Louisiana,670
121,1982,Maine,25
122,1982,Maryland,452
123,1982,Massachusetts,217
124,1982,Michigan,889
125,1982,Minnesota,99
126,1982,Mississippi,232
127,1982,Missouri,465
128,1982,Montana,1
129,1982,Nebraska,35
130,1982,Nevada,130
131,1982,New Hampshire,21
132,1982,New Jersey,497
133,1982,New Mexico,115
134,1982,New York,1992
135,1982,North Carolina,563
136,1982,North Dakota,6
137,1982,Ohio,689
138,1982,Oklahoma,378
139,1982,Oregon,143
140,1982,Pennsylvania,704
141,1982,Rhodes Island,36
142,1982,South Carolina,368
143,1982,South Dakota,16
144,1982,Tennessee,418
145,1982,Texas,1848
146,1982,Utah,55
147,1982,Vermont,5
148,1982,Virginia,427
149,1982,Washington,192
150,1982,West Virginia,107
151,1982,Wisconsin,148
152,1982,Wyoming,34
153,1983,Alabama,372
154,1983,Alaska,74
155,1983,Arizona,225
156,1983,Arkansas,199
157,1983,California,2830
158,1983,Colorado,214
159,1983,Connecticut,130
160,1983,Delaware,27
161,1983,District of Columbia,188
162,1983,Florida,1262
163,1983,Georgia,424
164,1983,Hawaii,57
165,1983,Idaho,36
166,1983,Illinois,1128
167,1983,Indiana,269
168,1983,Iowa,70
169,1983,Kansas,146
170,1983,Kentucky,269
171,1983,Louisiana,580
172,1983,Maine,29
173,1983,Maryland,386
174,1983,Massachusetts,197
175,1983,Michigan,902
176,1983,Minnesota,68
177,1983,Mississippi,198
