State,Weapon,Total Weapon Count
Alabama,Handgun,6352
Alabama,Knife,1632
Alabama,Shotgun,1028
Alabama,Unknown,1017
Alabama,Blunt Object,776
Alabama,Rifle,393
Alabama,Firearm,96
Alabama,Strangulation,26
Alabama,Fire,24
Alabama,Drowning,13
Alabama,Suffocation,8
Alabama,Poison,4
Alabama,Explosives,3
Alabama,Gun,3
Alabama,Drugs,1
Alaska,Handgun,548
Alaska,Knife,243
Alaska,Blunt Object,200
Alaska,Rifle,193
Alaska,Firearm,122
Alaska,Unknown,102
Alaska,Shotgun,95
Alaska,Strangulation,28
Alaska,Suffocation,28
Alaska,Fire,26
Alaska,Drowning,11
Alaska,Drugs,8
Alaska,Gun,7
Alaska,Explosives,2
Alaska,Fall,2
Alaska,Poison,2
Arizona,Handgun,7054
Arizona,Knife,1629
Arizona,Blunt Object,1476
Arizona,Firearm,639
Arizona,Rifle,611
Arizona,Shotgun,493
Arizona,Unknown,492
Arizona,Strangulation,174
Arizona,Suffocation,90
Arizona,Fire,71
Arizona,Drugs,55
Arizona,Gun,38
Arizona,Drowning,36
Arizona,Explosives,6
Arizona,Fall,4
Arizona,Poison,3
Arkansas,Handgun,3180
Arkansas,Knife,905
Arkansas,Firearm,602
Arkansas,Shotgun,598
Arkansas,Blunt Object,591
Arkansas,Rifle,456
Arkansas,Unknown,335
Arkansas,Strangulation,99
Arkansas,Fire,81
Arkansas,Gun,32
Arkansas,Suffocation,31
Arkansas,Drowning,16
Arkansas,Drugs,10
Arkansas,Poison,6
Arkansas,Explosives,5
California,Handgun,55429
California,Knife,14989
California,Blunt Object,10195
California,Shotgun,4371
California,Firearm,4327
California,Rifle,4103
California,Unknown,2533
California,Strangulation,1865
California,Suffocation,760
California,Fire,624
California,Drowning,240
California,Drugs,180
California,Poison,77
California,Explosives,50
California,Gun,40
Colorado,Handgun,2705
Colorado,Knife,1200
Colorado,Blunt Object,974
Colorado,Firearm,505
Colorado,Unknown,380
Colorado,Shotgun,242
Colorado,Rifle,239
Colorado,Suffocation,94
Colorado,Strangulation,89
Colorado,Fire,57
Colorado,Gun,44
Colorado,Drugs,31
Colorado,Drowning,22
Colorado,Explosives,6
Colorado,Poison,4
Colorado,Fall,1
Connecticut,Handgun,2332
Connecticut,Knife,847
Connecticut,Blunt Object,529
Connecticut,Firearm,463
Connecticut,Unknown,188
Connecticut,Shotgun,146
Connecticut,Fire,112
Connecticut,Rifle,111
Connecticut,Strangulation,65
Connecticut,Suffocation,47
Connecticut,Drugs,24
Connecticut,Gun,9
Connecticut,Drowning,8
Connecticut,Explosives,6
Connecticut,Fall,6
Connecticut,Poison,3
Delaware,Handgun,444
Delaware,Knife,224
Delaware,Blunt Object,154
Delaware,Firearm,140
Delaware,Unknown,72
Delaware,Shotgun,68
Delaware,Rifle,33
Delaware,Fire,11
Delaware,Suffocation,11
Delaware,Strangulation,10
Delaware,Drowning,6
Delaware,Drugs,3
Delaware,Gun,2
Delaware,Fall,1
District of Columbia,Handgun,3853
District of Columbia,Firearm,1433
District of Columbia,Knife,1009
District of Columbia,Blunt Object,435
District of Columbia,Unknown,153
District of Columbia,Strangulation,85
District of Columbia,Shotgun,41
District of Columbia,Suffocation,38
District of Columbia,Fire,34
District of Columbia,Drowning,8
District of Columbia,Gun,8
District of Columbia,Rifle,8
District of Columbia,Fall,4
District of Columbia,Poison,4
District of Columbia,Drugs,2
Florida,Handgun,14213
Florida,Firearm,7105
Florida,Knife,4916
Florida,Blunt Object,4102
Florida,Unknown,3979
Florida,Shotgun,1072
Florida,Rifle,1052
Florida,Fire,248
Florida,Strangulation,191
Florida,Drugs,102
Florida,Suffocation,73
Florida,Drowning,56
Florida,Gun,22
Florida,Poison,17
Florida,Explosives,12
Florida,Fall,4
Georgia,Handgun,11900
Georgia,Knife,2965
Georgia,Blunt Object,1776
Georgia,Unknown,1135
Georgia,Firearm,985
Georgia,Shotgun,955
Georgia,Rifle,654
Georgia,Strangulation,360
Georgia,Fire,129
Georgia,Suffocation,88
Georgia,Gun,71
Georgia,Drowning,26
Georgia,Drugs,23
Georgia,Explosives,8
Georgia,Fall,7
Georgia,Poison,6
Hawaii,Blunt Object,394
Hawaii,Handgun,357
Hawaii,Knife,294
Hawaii,Unknown,73
Hawaii,Rifle,69
