State,Year,Perpetrator Sex,Weapon,Crime Solved,Solved Total
Alabama,1980,Female,Blunt Object,Yes,5
Alabama,1980,Female,Handgun,Yes,47
Alabama,1980,Female,Knife,Yes,22
Alabama,1980,Female,Rifle,Yes,3
Alabama,1980,Female,Shotgun,Yes,10
Alabama,1980,Male,Blunt Object,Yes,27
Alabama,1980,Male,Drowning,Yes,2
Alabama,1980,Male,Firearm,Yes,2
Alabama,1980,Male,Handgun,Yes,207
Alabama,1980,Male,Knife,Yes,47
Alabama,1980,Male,Rifle,Yes,20
Alabama,1980,Male,Shotgun,Yes,63
Alabama,1980,Male,Strangulation,Yes,3
Alabama,1980,Male,Suffocation,Yes,1
Alabama,1980,Male,Unknown,Yes,4
Alabama,1980,Unknown,Blunt Object,No,8
Alabama,1980,Unknown,Explosives,No,1
Alabama,1980,Unknown,Firearm,No,4
Alabama,1980,Unknown,Handgun,No,24
Alabama,1980,Unknown,Knife,No,6
Alabama,1980,Unknown,Shotgun,No,5
Alabama,1980,Unknown,Strangulation,No,1
Alabama,1980,Unknown,Unknown,No,1
Alabama,1981,Female,Blunt Object,Yes,1
Alabama,1981,Female,Firearm,Yes,1
Alabama,1981,Female,Handgun,Yes,50
Alabama,1981,Female,Knife,Yes,22
Alabama,1981,Female,Rifle,Yes,2
Alabama,1981,Female,Shotgun,Yes,6
Alabama,1981,Female,Unknown,Yes,1
Alabama,1981,Male,Blunt Object,Yes,26
Alabama,1981,Male,Drugs,Yes,1
Alabama,1981,Male,Handgun,Yes,155
Alabama,1981,Male,Knife,Yes,54
Alabama,1981,Male,Poison,Yes,1
Alabama,1981,Male,Rifle,Yes,20
Alabama,1981,Male,Shotgun,Yes,58
Alabama,1981,Male,Unknown,Yes,3
Alabama,1981,Unknown,Blunt Object,No,10
Alabama,1981,Unknown,Fire,No,2
Alabama,1981,Unknown,Firearm,No,1
Alabama,1981,Unknown,Handgun,No,20
Alabama,1981,Unknown,Knife,No,10
Alabama,1981,Unknown,Rifle,No,1
Alabama,1981,Unknown,Shotgun,No,3
Alabama,1981,Unknown,Strangulation,No,2
Alabama,1981,Unknown,Suffocation,No,1
Alabama,1981,Unknown,Unknown,No,2
Alabama,1982,Female,Blunt Object,Yes,4
Alabama,1982,Female,Fire,Yes,2
Alabama,1982,Female,Handgun,Yes,40
Alabama,1982,Female,Knife,Yes,16
Alabama,1982,Female,Rifle,Yes,3
Alabama,1982,Female,Shotgun,Yes,11
Alabama,1982,Female,Unknown,Yes,1
Alabama,1982,Male,Blunt Object,Yes,23
Alabama,1982,Male,Handgun,Yes,163
Alabama,1982,Male,Knife,Yes,56
Alabama,1982,Male,Rifle,Yes,19
Alabama,1982,Male,Shotgun,Yes,45
Alabama,1982,Male,Strangulation,Yes,2
Alabama,1982,Male,Suffocation,Yes,1
Alabama,1982,Male,Unknown,Yes,4
Alabama,1982,Unknown,Blunt Object,No,6
Alabama,1982,Unknown,Drowning,No,2
Alabama,1982,Unknown,Firearm,No,1
Alabama,1982,Unknown,Handgun,No,10
Alabama,1982,Unknown,Knife,No,7
Alabama,1982,Unknown,Rifle,No,1
Alabama,1982,Unknown,Shotgun,No,1
Alabama,1982,Unknown,Strangulation,No,2
Alabama,1982,Unknown,Unknown,No,4
Alabama,1983,Female,Blunt Object,Yes,2
Alabama,1983,Female,Fire,Yes,1
Alabama,1983,Female,Handgun,Yes,35
Alabama,1983,Female,Knife,Yes,23
Alabama,1983,Female,Rifle,Yes,2
Alabama,1983,Female,Shotgun,Yes,7
Alabama,1983,Male,Blunt Object,Yes,21
Alabama,1983,Male,Fire,Yes,2
Alabama,1983,Male,Firearm,Yes,1
Alabama,1983,Male,Gun,Yes,1
Alabama,1983,Male,Handgun,Yes,120
Alabama,1983,Male,Knife,Yes,46
Alabama,1983,Male,Rifle,Yes,22
Alabama,1983,Male,Shotgun,Yes,49
Alabama,1983,Male,Strangulation,Yes,1
Alabama,1983,Male,Suffocation,Yes,1
Alabama,1983,Male,Unknown,Yes,3
Alabama,1983,Unknown,Blunt Object,No,7
Alabama,1983,Unknown,Handgun,No,10
Alabama,1983,Unknown,Knife,No,7
