City,State,Year,City Totals,Rank
Abbeville,South Carolina,1987,6,368.0
Abbeville,South Carolina,1990,4,501.0
Abbeville,South Carolina,1999,4,407.0
Abbeville,South Carolina,2013,4,435.0
Abbeville,South Carolina,1983,3,625.0
Abbeville,South Carolina,1986,3,652.0
Abbeville,South Carolina,1995,3,593.0
Abbeville,South Carolina,1998,3,538.0
Abbeville,South Carolina,2001,3,519.0
Abbeville,South Carolina,2006,3,540.0
Abbeville,South Carolina,1980,2,928.0
Abbeville,South Carolina,1982,2,906.0
Abbeville,South Carolina,1991,2,737.0
Abbeville,South Carolina,1996,2,736.0
Abbeville,South Carolina,2000,2,670.0
Abbeville,South Carolina,2003,2,676.0
Abbeville,South Carolina,2005,2,675.0
Abbeville,South Carolina,1984,1,1105.0
Abbeville,South Carolina,1985,1,1132.0
Abbeville,South Carolina,1989,1,1050.0
Abbeville,South Carolina,1994,1,1045.0
Abbeville,South Carolina,2004,1,945.0
Abbeville,South Carolina,2007,1,960.0
Abbeville,South Carolina,2008,1,935.0
Abbeville,South Carolina,2011,1,984.0
Abbeville,South Carolina,2014,1,933.0
Acadia,Louisiana,1990,8,296.0
Acadia,Louisiana,1997,8,257.0
Acadia,Louisiana,2012,8,263.0
Acadia,Louisiana,1981,7,358.0
Acadia,Louisiana,1987,6,368.0
Acadia,Louisiana,1982,5,477.0
Acadia,Louisiana,1983,5,436.0
Acadia,Louisiana,1986,4,533.0
Acadia,Louisiana,1999,4,407.0
Acadia,Louisiana,2003,4,419.0
Acadia,Louisiana,2009,4,481.0
Acadia,Louisiana,1991,3,586.0
Acadia,Louisiana,1992,3,634.0
Acadia,Louisiana,2006,3,540.0
Acadia,Louisiana,2011,3,548.0
Acadia,Louisiana,2013,3,535.0
Acadia,Louisiana,1980,2,928.0
Acadia,Louisiana,1985,2,818.0
Acadia,Louisiana,1998,2,694.0
Acadia,Louisiana,2000,2,670.0
Acadia,Louisiana,2005,2,675.0
Acadia,Louisiana,1984,1,1105.0
Acadia,Louisiana,1988,1,1034.0
Acadia,Louisiana,1989,1,1050.0
Acadia,Louisiana,1993,1,1068.0
Acadia,Louisiana,1995,1,1078.0
Acadia,Louisiana,2001,1,962.0
Acadia,Louisiana,2002,1,946.0
Acadia,Louisiana,2004,1,945.0
Acadia,Louisiana,2008,1,935.0
Acadia,Louisiana,2010,1,922.0
Accomack,Virginia,2011,6,329.0
Accomack,Virginia,2006,5,383.0
Accomack,Virginia,2007,5,393.0
Accomack,Virginia,1981,4,561.0
Accomack,Virginia,1990,4,501.0
Accomack,Virginia,2014,4,445.0
Accomack,Virginia,1982,3,706.0
Accomack,Virginia,1991,3,586.0
Accomack,Virginia,1992,3,634.0
Accomack,Virginia,2001,3,519.0
Accomack,Virginia,2008,3,529.0
Accomack,Virginia,2013,3,535.0
Accomack,Virginia,1980,2,928.0
Accomack,Virginia,1985,2,818.0
Accomack,Virginia,1987,2,813.0
Accomack,Virginia,1988,2,760.0
Accomack,Virginia,1989,2,767.0
Accomack,Virginia,1994,2,790.0
Accomack,Virginia,1998,2,694.0
Accomack,Virginia,1999,2,650.0
