State,Year,Population,TotalHomicide,Total Homicide Rank,"In 10,000","In 10,000 Rank"
Alabama,1980,3893888.0,513,13.0,1.3174492948949739,6.0
Alabama,1990,4040587.0,463,14.0,1.1458731120008057,8.0
Alabama,2000,4447100.0,235,20.0,0.5284342605293337,19.0
Alabama,2010,4779736.0,191,22.0,0.3996036601184668,28.0
Alaska,1980,401851.0,47,41.0,1.1695877327666224,10.0
Alaska,2010,710231.0,43,40.0,0.6054368226675546,10.0
Alaska,1990,550043.0,37,41.0,0.6726746817976049,22.0
Alaska,2000,626932.0,35,39.0,0.5582742625994526,18.0
Arizona,2010,6392017.0,400,14.0,0.6257805634747217,7.0
Arizona,2000,5130632.0,385,14.0,0.7503948831255097,4.0
Arizona,1990,3665228.0,301,19.0,0.8212313122130466,18.0
Arizona,1980,2718215.0,293,22.0,1.07791326293174,15.0
Arkansas,1990,2350725.0,254,22.0,1.0805177126205745,10.0
Arkansas,1980,2286435.0,214,26.0,0.9359548817263557,21.0
Arkansas,2000,2673400.0,163,25.0,0.6097104810353856,15.0
Arkansas,2010,2915918.0,141,30.0,0.4835526924968398,22.0
California,1990,29760021.0,3862,1.0,1.2977141380377386,4.0
California,1980,23667902.0,3590,1.0,1.5168222346027966,5.0
California,2000,33871648.0,2219,1.0,0.6551201760245029,10.0
California,2010,37253956.0,1948,1.0,0.5228974877191566,19.0
Colorado,1980,2889964.0,198,27.0,0.6851296417533229,34.0
Colorado,1990,3294394.0,166,29.0,0.5038862989672759,31.0
Colorado,2010,5029196.0,145,28.0,0.28831646251209936,36.0
Colorado,2000,4301261.0,134,27.0,0.311536547073056,31.0
Connecticut,1990,3287116.0,177,28.0,0.5384659379224828,28.0
Connecticut,1980,3107576.0,158,30.0,0.508434870136724,37.0
Connecticut,2010,3574097.0,134,31.0,0.3749198748662949,30.0
Connecticut,2000,3405565.0,100,31.0,0.29363703232796906,32.0
Delaware,2010,897934.0,52,39.0,0.5791071504141729,15.0
Delaware,1980,594338.0,44,42.0,0.7403194815071559,28.0
Delaware,1990,666168.0,33,43.0,0.495370537161797,32.0
Delaware,2000,783600.0,27,42.0,0.3445635528330781,27.0
District of Columbia,1990,606900.0,481,13.0,7.9255231504366455,1.0
District of Columbia,1980,638333.0,180,28.0,2.819844814540373,1.0
District of Columbia,2010,601723.0,134,31.0,2.2269383088231627,1.0
Florida,1980,9746324.0,1508,4.0,1.5472500195971322,4.0
Florida,2010,18801310.0,1130,3.0,0.6010219500662454,12.0
Florida,2000,15982378.0,815,4.0,0.5099366314574715,21.0
Georgia,1990,6478216.0,737,7.0,1.1376588863353738,9.0
Georgia,2010,9687653.0,565,7.0,0.5832165953920935,14.0
Georgia,2000,8186453.0,508,10.0,0.6205373682594891,12.0
Georgia,1980,5463105.0,475,15.0,0.8694689192318289,24.0
Hawaii,1980,964691.0,84,37.0,0.8707451401536865,23.0
Hawaii,1990,1108229.0,45,39.0,0.40605326155514787,36.0
Hawaii,2000,1211537.0,35,39.0,0.2888892373901911,33.0
Hawaii,2010,1360301.0,27,43.0,0.1984854822572357,43.0
Idaho,1990,1006749.0,34,42.0,0.3377207228415424,38.0
Idaho,1980,943935.0,30,46.0,0.3178184938581576,43.0
Idaho,2010,1567582.0,22,46.0,0.14034353545779424,46.0
Idaho,2000,1293953.0,17,43.0,0.13138035152745114,45.0
Illinois,1980,11426518.0,1323,5.0,1.157833033650321,11.0
Illinois,1990,11430602.0,773,6.0,0.6762548464201623,20.0
Illinois,2000,12419293.0,647,6.0,0.5209636329539854,20.0
Illinois,2010,12830632.0,472,10.0,0.36786964196307714,31.0
Indiana,1980,5490224.0,409,18.0,0.7449604970580436,27.0
Indiana,2000,6080485.0,308,17.0,0.5065385409223113,22.0
Indiana,2010,6483802.0,291,18.0,0.44881074406652144,23.0
Indiana,1990,5544159.0,264,21.0,0.47617681960419966,34.0
Iowa,1980,2913808.0,63,38.0,0.21621191238406925,47.0
Iowa,1990,2776755.0,52,37.0,0.1872689524282841,45.0
Iowa,2000,2926324.0,52,36.0,0.17769734315133937,41.0
Iowa,2010,3046355.0,39,41.0,0.12802184906223996,48.0
Kansas,1980,2363679.0,163,29.0,0.6896029452391801,32.0
Kansas,2010,2853118.0,107,33.0,0.37502830236954793,29.0
Kansas,1990,2477574.0,98,33.0,0.395548225804759,37.0
Kansas,2000,2688418.0,49,37.0,0.1822633236349407,39.0
Kentucky,1980,3660777.0,389,19.0,1.062615941916156,17.0
Kentucky,1990,3685296.0,248,24.0,0.6729445884401145,21.0
Kentucky,2010,4339367.0,189,23.0,0.4355473966594667,26.0
Kentucky,2000,4041769.0,73,32.0,0.18061398362944542,40.0
Louisiana,1990,4219973.0,611,10.0,1.4478765622434078,3.0
Louisiana,2000,4468976.0,558,9.0,1.2486081822771034,1.0
Louisiana,1980,4205900.0,549,10.0,1.3053092084928315,7.0
Louisiana,2010,4533372.0,493,8.0,1.0874907243438219,2.0
Maine,1980,1124660.0,36,44.0,0.32009674034819413,42.0
Maine,2010,1328361.0,27,43.0,0.20325799989611257,42.0
Maine,1990,1227928.0,18,46.0,0.1465883993198298,47.0
Maine,2000,1274923.0,15,44.0,0.11765416421227008,47.0
Maryland,1990,4781468.0,578,11.0,1.2088337723895672,7.0
Maryland,2000,5296486.0,462,11.0,0.8722764489512481,2.0
Maryland,2010,5773552.0,445,13.0,0.7707560267925188,3.0
Maryland,1980,4216975.0,432,17.0,1.0244310198661362,20.0
Massachusetts,1980,5737037.0,223,23.0,0.38870239114720717,38.0
Massachusetts,2010,6547629.0,219,20.0,0.3344722188749546,32.0
Massachusetts,1990,6016425.0,186,26.0,0.30915369176878293,39.0
Massachusetts,2000,6349097.0,119,29.0,0.1874282279826564,38.0
Michigan,1990,9295297.0,997,4.0,1.072585416044264,11.0
Michigan,1980,9262078.0,973,6.0,1.050520196439719,19.0
Michigan,2000,9938444.0,694,5.0,0.6982984459136661,7.0
Michigan,2010,9883640.0,606,6.0,0.6131344322537041,9.0
Minnesota,2000,4919479.0,113,30.0,0.2296991205776059,36.0
Minnesota,1980,4075970.0,112,36.0,0.2747812177224072,45.0
Minnesota,2010,5303925.0,105,34.0,0.19796660020645088,44.0
Minnesota,1990,4375099.0,65,35.0,0.1485680666883195,46.0
Mississippi,1980,2520638.0,218,25.0,0.8648604043896823,25.0
Mississippi,1990,2573216.0,178,27.0,0.6917413850994242,19.0
Mississippi,2000,2844658.0,174,23.0,0.611672826751054,14.0
Mississippi,2010,2967297.0,174,26.0,0.5863922620485917,13.0
Missouri,1980,4916686.0,531,12.0,1.0799957532370381,14.0
Missouri,2010,5988927.0,450,12.0,0.7513866841255536,4.0
Missouri,1990,5117073.0,438,16.0,0.8559580838498884,17.0
Missouri,2000,5595211.0,343,16.0,0.6130242451982597,13.0
Montana,1980,786690.0,29,47.0,0.3686331337629816,40.0
Montana,2010,989415.0,23,45.0,0.23246059540233371,39.0
Montana,2000,902195.0,12,46.0,0.1330089393091294,44.0
Montana,1990,799065.0,1,50.0,0.012514626469686447,49.0
Nebraska,1980,1569825.0,58,39.0,0.3694679343238896,39.0
Nebraska,2010,1826341.0,58,36.0,0.31757486690601594,33.0
Nebraska,1990,1578385.0,42,40.0,0.2660947740887046,41.0
Nebraska,2000,1711263.0,29,41.0,0.16946547666840223,42.0
Nevada,2010,2700551.0,175,24.0,0.6480159049023699,6.0
Nevada,1980,800493.0,154,31.0,1.9238144493455906,2.0
Nevada,2000,1998257.0,135,26.0,0.675588775617951,9.0
Nevada,1990,1201833.0,105,32.0,0.8736654759854323,15.0
New Hampshire,1980,920610.0,24,48.0,0.2606967119627204,46.0
New Hampshire,1990,1109252.0,21,45.0,0.18931676481088155,44.0
New Hampshire,2000,1235786.0,15,44.0,0.12138023897341449,46.0
New Hampshire,2010,1316470.0,13,48.0,0.09874892705492719,50.0
New Jersey,1980,7364823.0,534,11.0,0.7250683417646289,29.0
New Jersey,1990,7730188.0,443,15.0,0.5730779122060162,27.0
New Jersey,2010,8791894.0,392,16.0,0.44586524814789624,24.0
New Jersey,2000,8414350.0,298,18.0,0.3541568867470452,25.0
New Mexico,2010,2059179.0,142,29.0,0.6895952221734972,5.0
New Mexico,1980,1302894.0,141,33.0,1.0822062270606818,13.0
New Mexico,2000,1819046.0,126,28.0,0.6926707735813169,8.0
New Mexico,1990,1515069.0,96,34.0,0.6336345077352912,24.0
New York,1990,17990455.0,2268,3.0,1.260668504493077,5.0
New York,1980,17558072.0,2197,3.0,1.2512763360350727,8.0
New York,2000,18976457.0,956,3.0,0.5037821338303562,23.0
New York,2010,19378102.0,863,4.0,0.44534805317878917,25.0
North Carolina,1990,6628637.0,704,8.0,1.0620584593786022,12.0
North Carolina,1980,5881766.0,628,9.0,1.067706535758138,16.0
North Carolina,2000,8049313.0,570,8.0,0.7081349675431928,6.0
North Carolina,2010,9535483.0,468,11.0,0.49079842101338755,20.0
North Dakota,1980,652717.0,9,49.0,0.1378851784157606,49.0
North Dakota,2010,672591.0,9,49.0,0.13381088953018996,47.0
North Dakota,1990,638800.0,5,49.0,0.07827175954915466,48.0
North Dakota,2000,642200.0,4,50.0,0.06228589224540641,49.0
Ohio,1980,10797630.0,879,7.0,0.814067531486076,26.0
Ohio,1990,10847115.0,634,9.0,0.5844872115765345,26.0
Ohio,2010,11536504.0,481,9.0,0.41693740148662023,27.0
Ohio,2000,11353140.0,372,15.0,0.3276626554415783,29.0
Oklahoma,1980,3025290.0,320,21.0,1.0577498355529553,18.0
Oklahoma,1990,3145585.0,272,20.0,0.8647040216684655,16.0
Oklahoma,2010,3751351.0,209,21.0,0.5571326170225074,16.0
Oklahoma,2000,3450654.0,202,22.0,0.5853962756045665,16.0
Oregon,1980,2633105.0,141,33.0,0.5354894696565462,36.0
Oregon,1990,2842321.0,125,30.0,0.4397814321464747,35.0
Oregon,2010,3831074.0,93,35.0,0.24275177143537296,38.0
Oregon,2000,3421399.0,71,33.0,0.2075174511946721,37.0
Pennsylvania,1980,11863895.0,844,8.0,0.7114021154098212,31.0
Pennsylvania,1990,11881643.0,784,5.0,0.6598414040886433,23.0
Pennsylvania,2010,12702379.0,699,5.0,0.5502906187888111,17.0
Pennsylvania,2000,12281054.0,604,7.0,0.4918144647845373,24.0
Rhodes Island,1990,,48,38.0,,
Rhodes Island,2000,,45,38.0,,
Rhodes Island,1980,,43,43.0,,
Rhodes Island,2010,,30,42.0,,
South Carolina,1990,3486703.0,422,18.0,1.2103124355587498,6.0
South Carolina,1980,3121820.0,367,20.0,1.1755962867814287,9.0
South Carolina,2000,4012012.0,288,19.0,0.7178443135264799,5.0
South Carolina,2010,4625364.0,278,19.0,0.6010337780983291,11.0
South Dakota,2010,814180.0,17,47.0,0.2087990370679702,41.0
South Dakota,1990,696004.0,14,47.0,0.2011482692628203,43.0
South Dakota,2000,754844.0,8,49.0,0.10598216320193311,48.0
South Dakota,1980,690768.0,5,51.0,0.07238320246450328,50.0
