State,Year,TotalHomicide,Rank
Alabama,1980,513,13.0
Alabama,1994,501,15.0
Alabama,1993,477,15.0
Alabama,1995,467,16.0
Alabama,1990,463,14.0
Alabama,1981,453,15.0
Alabama,1991,434,14.0
Alabama,1996,430,14.0
Alabama,1982,424,16.0
Alabama,1989,416,14.0
Alabama,1997,415,14.0
Alabama,1986,407,15.0
Alabama,1985,397,13.0
Alabama,2007,392,17.0
Alabama,1992,391,18.0
Alabama,1988,389,16.0
Alabama,1984,382,13.0
Alabama,1983,372,17.0
Alabama,2006,358,18.0
Alabama,2001,347,19.0
Alabama,1998,343,18.0
Alabama,2008,338,18.0
Alabama,1987,336,17.0
Alabama,2005,327,19.0
Alabama,2009,318,18.0
Alabama,2003,295,20.0
Alabama,2002,292,20.0
Alabama,2004,253,20.0
Alabama,2000,235,20.0
Alabama,2010,191,22.0
Alabama,1999,15,45.0
Alabama,2012,2,50.0
Alabama,2013,2,51.0
Alabama,2014,1,51.0
Alaska,1982,75,37.0
Alaska,1983,74,36.0
Alaska,1981,69,37.0
Alaska,1993,60,37.0
Alaska,1999,56,35.0
Alaska,1997,55,37.0
Alaska,1995,54,39.0
Alaska,2007,53,38.0
Alaska,1984,52,39.0
Alaska,1985,50,39.0
Alaska,1987,48,39.0
Alaska,2014,48,40.0
Alaska,1980,47,41.0
Alaska,1986,47,41.0
Alaska,1991,45,39.0
Alaska,1992,44,38.0
Alaska,1994,44,39.0
Alaska,2003,44,39.0
Alaska,2004,44,39.0
Alaska,2010,43,40.0
Alaska,1998,42,36.0
Alaska,2006,42,39.0
Alaska,1989,41,41.0
Alaska,1996,41,38.0
Alaska,2002,41,39.0
Alaska,2013,41,39.0
Alaska,2012,40,39.0
Alaska,2001,39,39.0
Alaska,1990,37,41.0
Alaska,2005,37,41.0
Alaska,2009,36,41.0
Alaska,2011,36,40.0
Alaska,2000,35,39.0
Alaska,1988,30,43.0
Alaska,2008,27,42.0
Arizona,2007,516,11.0
Arizona,2006,509,12.0
Arizona,2003,482,13.0
Arizona,1995,478,14.0
Arizona,2005,473,11.0
Arizona,2004,458,13.0
Arizona,2001,448,13.0
Arizona,2002,446,14.0
Arizona,1994,438,17.0
Arizona,1999,424,12.0
Arizona,2008,403,14.0
Arizona,1997,401,16.0
Arizona,2010,400,14.0
Arizona,1998,396,15.0
Arizona,1996,390,17.0
Arizona,2000,385,14.0
Arizona,2013,383,15.0
Arizona,2011,379,16.0
Arizona,2009,370,16.0
Arizona,2012,365,16.0
Arizona,1993,362,21.0
Arizona,1992,345,21.0
Arizona,1986,321,19.0
Arizona,2014,313,19.0
Arizona,1991,308,20.0
Arizona,1988,306,20.0
Arizona,1990,301,19.0
Arizona,1980,293,22.0
Arizona,1989,291,19.0
Arizona,1987,266,20.0
Arizona,1985,264,20.0
Arizona,1984,248,21.0
Arizona,1982,247,22.0
Arizona,1981,237,23.0
Arizona,1983,225,23.0
Arkansas,1994,303,23.0
Arkansas,1991,269,21.0
Arkansas,1995,267,24.0
Arkansas,1993,264,24.0
Arkansas,1992,255,23.0
Arkansas,1997,255,22.0
Arkansas,1990,254,22.0
Arkansas,1989,219,22.0
Arkansas,1996,219,26.0
Arkansas,1988,216,23.0
Arkansas,1980,214,26.0
Arkansas,1981,209,26.0
Arkansas,1998,209,23.0
Arkansas,2006,205,24.0
Arkansas,1986,202,25.0
Arkansas,1983,199,25.0
Arkansas,2007,198,24.0
Arkansas,1982,195,26.0
Arkansas,1985,188,25.0
Arkansas,1987,187,25.0
Arkansas,1984,183,26.0
Arkansas,2005,181,26.0
Arkansas,2012,176,25.0
Arkansas,2009,173,25.0
Arkansas,2014,169,25.0
Arkansas,2000,163,25.0
Arkansas,2008,160,27.0
Arkansas,2011,160,26.0
Arkansas,2003,157,28.0
Arkansas,2004,157,31.0
Arkansas,2013,156,26.0
Arkansas,1999,151,25.0
Arkansas,2001,147,28.0
Arkansas,2002,146,30.0
Arkansas,2010,141,30.0
California,1993,4369,1.0
California,1992,4195,1.0
California,1991,4146,1.0
California,1994,3962,1.0
California,1990,3862,1.0
California,1995,3760,1.0
California,1980,3590,1.0
California,1989,3412,1.0
California,1986,3260,1.0
California,1987,3166,1.0
California,1988,3135,1.0
California,1996,3101,1.0
California,1985,2986,1.0
California,1982,2976,1.0
California,1984,2888,1.0
California,1981,2885,1.0
California,1983,2830,1.0
California,1997,2773,1.0
California,2005,2651,1.0
California,2006,2649,1.0
California,2003,2584,1.0
California,2004,2566,1.0
California,2002,2549,1.0
California,2007,2425,1.0
California,2001,2357,1.0
California,1998,2353,1.0
California,2000,2219,1.0
California,2008,2142,1.0
California,1999,2132,1.0
California,2009,2132,1.0
California,2012,2047,1.0
California,2010,1948,1.0
California,2011,1931,1.0
California,2013,1930,1.0
California,2014,1872,1.0
Colorado,1986,247,23.0
Colorado,1992,232,24.0
Colorado,1981,230,25.0
Colorado,1993,221,29.0
Colorado,1995,219,27.0
Colorado,2004,216,22.0
Colorado,1983,214,24.0
Colorado,1991,213,28.0
Colorado,1987,211,24.0
Colorado,1988,206,24.0
Colorado,1985,204,24.0
Colorado,1999,201,21.0
Colorado,1980,198,27.0
Colorado,1998,195,24.0
Colorado,1982,193,27.0
Colorado,1984,192,25.0
Colorado,2003,190,27.0
Colorado,1994,187,29.0
Colorado,2013,186,22.0
Colorado,1996,182,28.0
Colorado,2002,181,26.0
Colorado,2005,177,29.0
Colorado,2006,176,27.0
Colorado,1997,175,29.0
Colorado,2012,172,26.0
Colorado,2011,167,24.0
Colorado,1989,166,29.0
Colorado,1990,166,29.0
Colorado,2009,165,27.0
Colorado,2014,165,27.0
Colorado,2007,161,30.0
Colorado,2001,154,26.0
Colorado,2008,152,28.0
Colorado,2010,145,28.0
Colorado,2000,134,27.0
Connecticut,1993,222,28.0
Connecticut,1994,220,27.0
Connecticut,1989,197,24.0
Connecticut,1988,181,25.0
Connecticut,1992,181,29.0
Connecticut,1990,177,28.0
Connecticut,1991,172,29.0
Connecticut,1996,166,29.0
Connecticut,1982,164,29.0
Connecticut,1987,162,29.0
Connecticut,1980,158,30.0
Connecticut,1995,156,32.0
Connecticut,1981,155,31.0
Connecticut,1986,148,30.0
Connecticut,2012,145,27.0
Connecticut,1998,144,28.0
Connecticut,2010,134,31.0
Connecticut,1997,132,30.0
Connecticut,2008,132,31.0
Connecticut,1983,130,31.0
Connecticut,2011,130,30.0
Connecticut,1985,124,33.0
Connecticut,1999,117,30.0
Connecticut,1984,116,31.0
Connecticut,2006,113,33.0
Connecticut,2001,112,30.0
Connecticut,2005,111,33.0
Connecticut,2003,110,32.0
Connecticut,2007,109,33.0
Connecticut,2009,106,33.0
Connecticut,2004,103,34.0
Connecticut,2000,100,31.0
Connecticut,2013,93,33.0
Connecticut,2014,90,33.0
Connecticut,2002,86,33.0
Delaware,2008,57,37.0
Delaware,2012,57,35.0
Delaware,2014,53,39.0
Delaware,2010,52,39.0
Delaware,2011,48,38.0
Delaware,1980,44,42.0
Delaware,2009,44,38.0
Delaware,2006,42,39.0
Delaware,1981,41,43.0
Delaware,2005,41,40.0
Delaware,2013,41,39.0
Delaware,1991,39,40.0
Delaware,2007,39,41.0
Delaware,1982,36,40.0
Delaware,1988,34,42.0
Delaware,1989,33,44.0
Delaware,1990,33,43.0
Delaware,1996,33,40.0
Delaware,1985,32,43.0
Delaware,1986,32,43.0
Delaware,1987,32,44.0
Delaware,2002,30,42.0
Delaware,2001,29,42.0
Delaware,2004,28,45.0
Delaware,1983,27,46.0
Delaware,2000,27,42.0
Delaware,1999,25,42.0
Delaware,1984,24,45.0
Delaware,1998,24,42.0
Delaware,1993,22,44.0
Delaware,2003,21,44.0
Delaware,1992,20,44.0
Delaware,1997,16,45.0
Delaware,1994,14,46.0
Delaware,1995,9,49.0
District of Columbia,1991,489,13.0
District of Columbia,1990,481,13.0
District of Columbia,1992,450,16.0
District of Columbia,1989,439,13.0
