Perpetrator Sex,Perpetrator Race,State,Weapon,total
Female,Asian/Pacific Islander,Alabama,Handgun,1
Female,Asian/Pacific Islander,Alaska,Blunt Object,2
Female,Asian/Pacific Islander,Alaska,Handgun,1
Female,Asian/Pacific Islander,Alaska,Knife,1
Female,Asian/Pacific Islander,Alaska,Shotgun,1
Female,Asian/Pacific Islander,Arizona,Blunt Object,3
Female,Asian/Pacific Islander,Arizona,Handgun,2
Female,Asian/Pacific Islander,Arizona,Unknown,1
Female,Asian/Pacific Islander,Arkansas,Handgun,1
Female,Asian/Pacific Islander,California,Handgun,60
Female,Asian/Pacific Islander,California,Knife,37
Female,Asian/Pacific Islander,California,Blunt Object,35
Female,Asian/Pacific Islander,California,Unknown,13
Female,Asian/Pacific Islander,California,Drowning,11
Female,Asian/Pacific Islander,California,Suffocation,11
Female,Asian/Pacific Islander,California,Strangulation,10
Female,Asian/Pacific Islander,California,Fire,6
Female,Asian/Pacific Islander,California,Firearm,5
Female,Asian/Pacific Islander,California,Drugs,3
Female,Asian/Pacific Islander,California,Rifle,3
Female,Asian/Pacific Islander,Colorado,Blunt Object,3
Female,Asian/Pacific Islander,Colorado,Handgun,3
Female,Asian/Pacific Islander,Colorado,Knife,1
Female,Asian/Pacific Islander,Colorado,Suffocation,1
Female,Asian/Pacific Islander,Colorado,Unknown,1
Female,Asian/Pacific Islander,Connecticut,Blunt Object,2
Female,Asian/Pacific Islander,Connecticut,Handgun,1
Female,Asian/Pacific Islander,Connecticut,Knife,1
Female,Asian/Pacific Islander,Delaware,Fire,3
Female,Asian/Pacific Islander,District of Columbia,Blunt Object,1
Female,Asian/Pacific Islander,District of Columbia,Handgun,1
Female,Asian/Pacific Islander,District of Columbia,Shotgun,1
Female,Asian/Pacific Islander,Florida,Blunt Object,4
Female,Asian/Pacific Islander,Florida,Handgun,3
Female,Asian/Pacific Islander,Florida,Knife,2
Female,Asian/Pacific Islander,Florida,Unknown,2
Female,Asian/Pacific Islander,Florida,Suffocation,1
Female,Asian/Pacific Islander,Georgia,Handgun,12
Female,Asian/Pacific Islander,Georgia,Blunt Object,3
Female,Asian/Pacific Islander,Georgia,Fire,1
Female,Asian/Pacific Islander,Georgia,Firearm,1
Female,Asian/Pacific Islander,Georgia,Rifle,1
Female,Asian/Pacific Islander,Georgia,Unknown,1
Female,Asian/Pacific Islander,Hawaii,Handgun,12
Female,Asian/Pacific Islander,Hawaii,Blunt Object,11
Female,Asian/Pacific Islander,Hawaii,Knife,7
Female,Asian/Pacific Islander,Hawaii,Unknown,7
Female,Asian/Pacific Islander,Hawaii,Rifle,4
Female,Asian/Pacific Islander,Hawaii,Drowning,2
Female,Asian/Pacific Islander,Hawaii,Fall,1
Female,Asian/Pacific Islander,Hawaii,Fire,1
Female,Asian/Pacific Islander,Hawaii,Suffocation,1
Female,Asian/Pacific Islander,Idaho,Rifle,1
Female,Asian/Pacific Islander,Illinois,Blunt Object,3
Female,Asian/Pacific Islander,Illinois,Handgun,1
Female,Asian/Pacific Islander,Illinois,Knife,1
Female,Asian/Pacific Islander,Illinois,Strangulation,1
Female,Asian/Pacific Islander,Indiana,Poison,2
Female,Asian/Pacific Islander,Indiana,Handgun,1
Female,Asian/Pacific Islander,Indiana,Knife,1
Female,Asian/Pacific Islander,Indiana,Rifle,1
Female,Asian/Pacific Islander,Indiana,Suffocation,1
Female,Asian/Pacific Islander,Iowa,Knife,1
Female,Asian/Pacific Islander,Kansas,Handgun,2
Female,Asian/Pacific Islander,Kansas,Knife,1
Female,Asian/Pacific Islander,Kentucky,Handgun,2
Female,Asian/Pacific Islander,Kentucky,Strangulation,1
Female,Asian/Pacific Islander,Louisiana,Handgun,3
Female,Asian/Pacific Islander,Louisiana,Fire,1
Female,Asian/Pacific Islander,Maryland,Knife,3
Female,Asian/Pacific Islander,Maryland,Blunt Object,2
Female,Asian/Pacific Islander,Maryland,Handgun,2
Female,Asian/Pacific Islander,Massachusetts,Handgun,2
Female,Asian/Pacific Islander,Massachusetts,Knife,2
Female,Asian/Pacific Islander,Massachusetts,Suffocation,2
Female,Asian/Pacific Islander,Massachusetts,Blunt Object,1
Female,Asian/Pacific Islander,Massachusetts,Fire,1
Female,Asian/Pacific Islander,Massachusetts,Unknown,1
Female,Asian/Pacific Islander,Michigan,Handgun,2
Female,Asian/Pacific Islander,Michigan,Drowning,1
Female,Asian/Pacific Islander,Michigan,Firearm,1
Female,Asian/Pacific Islander,Michigan,Knife,1
Female,Asian/Pacific Islander,Michigan,Unknown,1
Female,Asian/Pacific Islander,Minnesota,Strangulation,6
Female,Asian/Pacific Islander,Minnesota,Handgun,5
Female,Asian/Pacific Islander,Minnesota,Knife,4
Female,Asian/Pacific Islander,Minnesota,Blunt Object,2
Female,Asian/Pacific Islander,Minnesota,Unknown,2
Female,Asian/Pacific Islander,Minnesota,Firearm,1
Female,Asian/Pacific Islander,Mississippi,Rifle,1
Female,Asian/Pacific Islander,Missouri,Handgun,1
Female,Asian/Pacific Islander,Missouri,Suffocation,1
Female,Asian/Pacific Islander,Nebraska,Handgun,1
Female,Asian/Pacific Islander,Nebraska,Knife,1
Female,Asian/Pacific Islander,Nevada,Knife,6
Female,Asian/Pacific Islander,Nevada,Blunt Object,3
Female,Asian/Pacific Islander,Nevada,Handgun,3
Female,Asian/Pacific Islander,Nevada,Drowning,2
Female,Asian/Pacific Islander,Nevada,Firearm,1
Female,Asian/Pacific Islander,Nevada,Unknown,1
Female,Asian/Pacific Islander,New Hampshire,Blunt Object,1
Female,Asian/Pacific Islander,New Jersey,Unknown,4
Female,Asian/Pacific Islander,New Jersey,Knife,2
Female,Asian/Pacific Islander,New Jersey,Suffocation,2
Female,Asian/Pacific Islander,New Jersey,Blunt Object,1
Female,Asian/Pacific Islander,New Jersey,Poison,1
Female,Asian/Pacific Islander,New Mexico,Blunt Object,1
Female,Asian/Pacific Islander,New York,Knife,7
Female,Asian/Pacific Islander,New York,Blunt Object,4
Female,Asian/Pacific Islander,New York,Handgun,4
Female,Asian/Pacific Islander,New York,Unknown,4
Female,Asian/Pacific Islander,New York,Fire,1
Female,Asian/Pacific Islander,New York,Shotgun,1
Female,Asian/Pacific Islander,North Carolina,Handgun,4
Female,Asian/Pacific Islander,North Carolina,Knife,4
Female,Asian/Pacific Islander,North Carolina,Blunt Object,1
Female,Asian/Pacific Islander,North Carolina,Suffocation,1
Female,Asian/Pacific Islander,Ohio,Drugs,1
Female,Asian/Pacific Islander,Ohio,Handgun,1
Female,Asian/Pacific Islander,Ohio,Shotgun,1
Female,Asian/Pacific Islander,Oklahoma,Handgun,3
Female,Asian/Pacific Islander,Oklahoma,Blunt Object,2
Female,Asian/Pacific Islander,Oklahoma,Knife,1
Female,Asian/Pacific Islander,Oklahoma,Rifle,1
Female,Asian/Pacific Islander,Oklahoma,Suffocation,1
