,Perpetrator Sex,State,Relationship,Relationship Total
0,Female,Alabama,Husband,349
1,Female,Alabama,Acquaintance,234
2,Female,Alabama,Boyfriend,219
3,Female,Alabama,Unknown,97
4,Female,Alabama,Common-Law Husband,77
5,Female,Alabama,Friend,60
6,Female,Alabama,Son,47
7,Female,Alabama,Stranger,46
8,Female,Alabama,Daughter,40
9,Female,Alabama,Family,39
10,Female,Alabama,Ex-Husband,38
11,Female,Alabama,Neighbor,19
12,Female,Alabama,In-Law,18
13,Female,Alabama,Brother,15
14,Female,Alabama,Mother,13
15,Female,Alabama,Father,11
16,Female,Alabama,Stepfather,10
17,Female,Alabama,Sister,6
18,Female,Alabama,Girlfriend,3
19,Female,Alabama,Stepdaughter,2
20,Female,Alabama,Wife,2
21,Female,Alabama,Employee,1
22,Female,Alabama,Ex-Wife,1
23,Female,Alabama,Stepmother,1
24,Female,Alaska,Boyfriend,30
25,Female,Alaska,Husband,30
26,Female,Alaska,Son,19
27,Female,Alaska,Daughter,16
28,Female,Alaska,Unknown,16
29,Female,Alaska,Acquaintance,14
30,Female,Alaska,Friend,9
31,Female,Alaska,Common-Law Husband,8
32,Female,Alaska,Stranger,7
33,Female,Alaska,Ex-Husband,5
34,Female,Alaska,Family,4
35,Female,Alaska,Brother,3
36,Female,Alaska,Boyfriend/Girlfriend,2
37,Female,Alaska,Employer,1
38,Female,Alaska,Father,1
39,Female,Alaska,Mother,1
40,Female,Arizona,Husband,157
41,Female,Arizona,Acquaintance,118
42,Female,Arizona,Boyfriend,101
43,Female,Arizona,Daughter,90
44,Female,Arizona,Son,72
45,Female,Arizona,Stranger,63
46,Female,Arizona,Unknown,54
47,Female,Arizona,Friend,33
48,Female,Arizona,Family,14
49,Female,Arizona,Ex-Husband,12
50,Female,Arizona,Mother,11
51,Female,Arizona,Common-Law Husband,9
52,Female,Arizona,Brother,6
53,Female,Arizona,Father,6
54,Female,Arizona,Neighbor,6
55,Female,Arizona,Boyfriend/Girlfriend,4
56,Female,Arizona,In-Law,4
57,Female,Arizona,Stepfather,4
58,Female,Arizona,Girlfriend,2
59,Female,Arizona,Stepdaughter,2
60,Female,Arizona,Stepson,2
61,Female,Arizona,Wife,2
62,Female,Arizona,Employee,1
63,Female,Arizona,Employer,1
64,Female,Arkansas,Acquaintance,202
65,Female,Arkansas,Husband,181
66,Female,Arkansas,Boyfriend,139
67,Female,Arkansas,Unknown,66
68,Female,Arkansas,Son,55
69,Female,Arkansas,Daughter,34
70,Female,Arkansas,Stranger,26
71,Female,Arkansas,Family,21
72,Female,Arkansas,Ex-Husband,18
73,Female,Arkansas,Friend,14
74,Female,Arkansas,Father,13
75,Female,Arkansas,Brother,11
76,Female,Arkansas,Common-Law Husband,9
77,Female,Arkansas,Neighbor,8
78,Female,Arkansas,Mother,7
79,Female,Arkansas,In-Law,6
80,Female,Arkansas,Sister,5
81,Female,Arkansas,Stepfather,4
82,Female,Arkansas,Girlfriend,2
83,Female,Arkansas,Stepson,2
84,Female,Arkansas,Boyfriend/Girlfriend,1
85,Female,Arkansas,Employer,1
86,Female,Arkansas,Wife,1
87,Female,California,Husband,792
88,Female,California,Boyfriend,684
89,Female,California,Son,532
90,Female,California,Unknown,527
91,Female,California,Daughter,507
92,Female,California,Stranger,503
93,Female,California,Acquaintance,490
94,Female,California,Friend,395
95,Female,California,Common-Law Husband,159
96,Female,California,Family,141
97,Female,California,Mother,101
98,Female,California,Father,57
99,Female,California,Brother,47
100,Female,California,Neighbor,46
101,Female,California,Ex-Husband,42
102,Female,California,In-Law,39
103,Female,California,Sister,34
104,Female,California,Boyfriend/Girlfriend,31
105,Female,California,Girlfriend,23
106,Female,California,Wife,18
107,Female,California,Stepfather,15
108,Female,California,Employer,7
109,Female,California,Stepdaughter,7
110,Female,California,Stepmother,5
111,Female,California,Stepson,5
112,Female,California,Employee,4
113,Female,California,Common-Law Wife,3
114,Female,California,Ex-Wife,1
115,Female,Colorado,Husband,109
116,Female,Colorado,Boyfriend,92
117,Female,Colorado,Acquaintance,88
118,Female,Colorado,Son,87
119,Female,Colorado,Unknown,67
120,Female,Colorado,Daughter,65
121,Female,Colorado,Stranger,35
122,Female,Colorado,Common-Law Husband,22
123,Female,Colorado,Family,18
124,Female,Colorado,Ex-Husband,8
125,Female,Colorado,Friend,8
126,Female,Colorado,Mother,7
127,Female,Colorado,Father,6
128,Female,Colorado,Boyfriend/Girlfriend,5
129,Female,Colorado,Sister,5
130,Female,Colorado,Stepdaughter,5
131,Female,Colorado,Brother,4
132,Female,Colorado,Stepson,4
133,Female,Colorado,In-Law,3
134,Female,Colorado,Neighbor,3
135,Female,Colorado,Employee,1
136,Female,Colorado,Girlfriend,1
137,Female,Colorado,Stepfather,1
138,Female,Colorado,Stepmother,1
139,Female,Colorado,Wife,1
140,Female,Connecticut,Acquaintance,82
141,Female,Connecticut,Husband,40
142,Female,Connecticut,Boyfriend,39
143,Female,Connecticut,Daughter,36
144,Female,Connecticut,Unknown,27
145,Female,Connecticut,Son,26
146,Female,Connecticut,Neighbor,21
147,Female,Connecticut,Stranger,18
148,Female,Connecticut,Friend,11
149,Female,Connecticut,Common-Law Husband,10
150,Female,Connecticut,Family,9
151,Female,Connecticut,Father,4
152,Female,Connecticut,Sister,4
153,Female,Connecticut,In-Law,2
154,Female,Connecticut,Mother,2
155,Female,Connecticut,Boyfriend/Girlfriend,1
156,Female,Connecticut,Brother,1
157,Female,Connecticut,Employer,1
158,Female,Connecticut,Stepfather,1
159,Female,Connecticut,Stepmother,1
160,Female,Delaware,Boyfriend,20
161,Female,Delaware,Acquaintance,19
162,Female,Delaware,Unknown,16
163,Female,Delaware,Husband,15
164,Female,Delaware,Son,15
165,Female,Delaware,Daughter,7
166,Female,Delaware,Ex-Husband,3
167,Female,Delaware,Friend,2
168,Female,Delaware,Mother,2
169,Female,Delaware,Stranger,2
170,Female,Delaware,Boyfriend/Girlfriend,1
171,Female,Delaware,Family,1
172,Female,Delaware,Father,1
173,Female,Delaware,Neighbor,1
174,Female,Delaware,Stepdaughter,1
175,Female,Delaware,Stepfather,1
176,Female,Delaware,Stepson,1
177,Female,District of Columbia,Stranger,52
178,Female,District of Columbia,Unknown,52
179,Female,District of Columbia,Acquaintance,35
180,Female,District of Columbia,Boyfriend,34
181,Female,District of Columbia,Husband,17
182,Female,District of Columbia,Daughter,11
183,Female,District of Columbia,Son,11
184,Female,District of Columbia,Common-Law Husband,7
185,Female,District of Columbia,Friend,4
186,Female,District of Columbia,Brother,3
187,Female,District of Columbia,Family,1
188,Female,District of Columbia,In-Law,1
189,Female,District of Columbia,Mother,1
190,Female,District of Columbia,Sister,1
191,Female,Florida,Unknown,1001
192,Female,Florida,Husband,506
193,Female,Florida,Boyfriend,252
194,Female,Florida,Son,230
195,Female,Florida,Daughter,183
196,Female,Florida,Acquaintance,125
197,Female,Florida,Friend,113
198,Female,Florida,Stranger,96
199,Female,Florida,Common-Law Husband,79
200,Female,Florida,Family,49
201,Female,Florida,Mother,45
202,Female,Florida,Ex-Husband,30
203,Female,Florida,Father,29
204,Female,Florida,Brother,21
205,Female,Florida,Sister,14
206,Female,Florida,Neighbor,11
207,Female,Florida,Stepfather,10
208,Female,Florida,Wife,9
209,Female,Florida,Boyfriend/Girlfriend,7
210,Female,Florida,In-Law,5
211,Female,Florida,Common-Law Wife,2
212,Female,Florida,Employee,2
213,Female,Florida,Girlfriend,2
214,Female,Florida,Stepdaughter,2
215,Female,Florida,Stepmother,1
216,Female,Georgia,Acquaintance,552
217,Female,Georgia,Husband,430
218,Female,Georgia,Boyfriend,296
219,Female,Georgia,Common-Law Husband,125
220,Female,Georgia,Daughter,115
221,Female,Georgia,Unknown,114
222,Female,Georgia,Son,103
223,Female,Georgia,Stranger,90
224,Female,Georgia,Family,52
225,Female,Georgia,Friend,52
226,Female,Georgia,Brother,35
227,Female,Georgia,Ex-Husband,31
228,Female,Georgia,Mother,26
229,Female,Georgia,Neighbor,21
230,Female,Georgia,Father,15
231,Female,Georgia,In-Law,12
232,Female,Georgia,Stepfather,12
233,Female,Georgia,Sister,9
234,Female,Georgia,Boyfriend/Girlfriend,7
235,Female,Georgia,Girlfriend,4
236,Female,Georgia,Stepdaughter,3
237,Female,Georgia,Stepson,3
238,Female,Georgia,Stepmother,2
239,Female,Hawaii,Husband,12
240,Female,Hawaii,Son,12
241,Female,Hawaii,Acquaintance,11
242,Female,Hawaii,Boyfriend,9
243,Female,Hawaii,Daughter,9
244,Female,Hawaii,Stranger,5
245,Female,Hawaii,Family,4
246,Female,Hawaii,Unknown,4
247,Female,Hawaii,Friend,3
