State,Year,TotalHomicide,Rank,Population,"In 10,000",Per Capita Rank
Alaska,1980,47.0,41.0,405315,1.1595919223320135,10.0
Alaska,1981,69.0,37.0,418491,1.648780977368689,3.0
Alaska,1982,75.0,37.0,449606,1.6681272047081224,2.0
Alaska,1983,74.0,36.0,488417,1.5150987782980527,2.0
Alaska,1984,52.0,39.0,513702,1.0122600262408945,8.0
Alaska,1985,50.0,39.0,532495,0.9389759528258481,11.0
Alaska,1986,47.0,41.0,544268,0.8635451652494727,19.0
Alaska,1987,48.0,39.0,539309,0.8900277948263425,9.0
Alaska,1988,30.0,43.0,541983,0.5535228964746127,27.0
Alaska,1989,41.0,41.0,547159,0.7493251504590074,20.0
Alaska,1990,37.0,41.0,553120,0.6689326005206827,22.0
Alaska,1991,45.0,39.0,569273,0.7904818953296573,19.0
Alaska,1992,44.0,38.0,587073,0.7494808993089446,21.0
Alaska,1993,60.0,37.0,596993,1.005036909980519,14.0
Alaska,1994,44.0,39.0,600624,0.7325714590159568,22.0
Alaska,1995,54.0,39.0,601345,0.8979870124470977,14.0
Alaska,1996,41.0,38.0,604918,0.6777778145137028,21.0
Alaska,1997,55.0,37.0,608846,0.9033483015409479,7.0
Alaska,1998,42.0,36.0,615205,0.6826992628473436,18.0
Alaska,1999,56.0,35.0,619500,0.903954802259887,3.0
Alaska,2000,35.0,39.0,627963,0.5573576787167397,18.0
Alaska,2001,39.0,39.0,633714,0.6154195741296548,17.0
Alaska,2002,41.0,39.0,642337,0.6382942287304016,15.0
Alaska,2003,44.0,39.0,648414,0.6785788092175677,11.0
Alaska,2004,44.0,39.0,659286,0.6673886598532351,9.0
Alaska,2005,37.0,41.0,666946,0.5547675523955463,21.0
Alaska,2006,42.0,39.0,675302,0.6219439598875762,17.0
Alaska,2007,53.0,38.0,680300,0.7790680582096134,9.0
Alaska,2008,27.0,42.0,687455,0.39275298019506727,28.0
Alaska,2009,36.0,41.0,698895,0.5150988345888867,21.0
Alaska,2010,43.0,40.0,713910,0.6023168186466081,10.0
Alaska,2011,36.0,40.0,722128,0.49852657700573855,20.0
Alaska,2012,40.0,39.0,730443,0.5476128869740692,15.0
Alaska,2013,41.0,39.0,737068,0.5562580386070214,14.0
Alaska,2014,48.0,40.0,736283,0.6519232414710104,6.0
Alabama,1980,513.0,13.0,3900368,1.3152605087519949,6.0
Alabama,1981,453.0,15.0,3918531,1.1560454670385407,8.0
Alabama,1982,424.0,16.0,3925266,1.0801815724080865,11.0
Alabama,1983,372.0,17.0,3934102,0.9455779235007126,12.0
Alabama,1984,382.0,13.0,3951820,0.9666432175554555,11.0
Alabama,1985,397.0,13.0,3972523,0.9993648872517541,8.0
Alabama,1986,407.0,15.0,3991569,1.019649165528643,9.0
Alabama,1987,336.0,17.0,4015264,0.8368067454593273,13.0
Alabama,1988,389.0,16.0,4023844,0.9667372790794077,11.0
Alabama,1989,416.0,14.0,4030222,1.032201203804654,9.0
Alabama,1990,463.0,14.0,4048508,1.1436311846240639,8.0
Alabama,1991,434.0,14.0,4091025,1.0608588312220042,13.0
Alabama,1992,391.0,18.0,4139269,0.9446112344957527,15.0
Alabama,1993,477.0,15.0,4193114,1.1375793741834828,8.0
Alabama,1994,501.0,15.0,4232965,1.1835675466251196,7.0
Alabama,1995,467.0,16.0,4262731,1.0955418017228862,8.0
Alabama,1996,430.0,14.0,4290403,1.0022368528084658,4.0
Alabama,1997,415.0,14.0,4320281,0.960585665608325,6.0
Alabama,1998,343.0,18.0,4351037,0.7883178194071895,10.0
Alabama,1999,15.0,45.0,4369862,0.0343260267715548,48.0
Alabama,2000,235.0,20.0,4452173,0.5278321394968255,19.0
Alabama,2001,347.0,19.0,4467634,0.7766974644744846,6.0
Alabama,2002,292.0,20.0,4480089,0.6517727661213872,14.0
Alabama,2003,295.0,20.0,4503491,0.6550473843513842,14.0
Alabama,2004,253.0,20.0,4530729,0.5584090330717199,21.0
Alabama,2005,327.0,19.0,4569805,0.7155666379637643,11.0
Alabama,2006,358.0,18.0,4628981,0.7733883548020613,7.0
Alabama,2007,392.0,17.0,4672840,0.8388902680168805,4.0
Alabama,2008,338.0,18.0,4718206,0.7163739777364533,4.0
Alabama,2009,318.0,18.0,4757938,0.6683567545436699,9.0
Alabama,2010,191.0,22.0,4785437,0.3991276031844113,28.0
Alabama,2011,,,4799069,,
Alabama,2012,2.0,50.0,4815588,0.0041531792171589435,49.0
Alabama,2013,2.0,51.0,4830081,0.00414071730888157,50.0
Alabama,2014,1.0,51.0,4841799,0.0020653480245669017,50.0
Arkansas,1980,214.0,26.0,2288738,0.9350130945525438,21.0
Arkansas,1981,209.0,26.0,2293201,0.9113897996730335,18.0
Arkansas,1982,195.0,26.0,2294257,0.8499483710848436,21.0
Arkansas,1983,199.0,25.0,2305761,0.863055624585549,14.0
Arkansas,1984,183.0,26.0,2319768,0.7888719906473406,18.0
Arkansas,1985,188.0,25.0,2327046,0.8078912062761114,19.0
Arkansas,1986,202.0,25.0,2331984,0.8662152055931773,18.0
